Descrição,URL,Avaliação,Valor
"Estúdio Moderno Liberdade, no Coração de São Paulo",www.airbnb.com.br/rooms/581923396875342239?adults=2&children=0&infants=0&check_in=2022-10-24&check_out=2022-10-31&previous_page_section_name=1000,"Avaliação: 5,0 de 5 estrelas",R$223 por noite
Studio  Centro SP  - Linda Sacada - Disney + Netfl,www.airbnb.com.br/rooms/12564066?adults=2&children=0&infants=0&check_in=2023-05-27&check_out=2023-06-03&previous_page_section_name=1000,"Avaliação: 4,81 de 5 estrelas",R$125 por noite
"#Ap de Luxo na República,wi-fi,piscina/vaga/academ",www.airbnb.com.br/rooms/42872587?adults=2&children=0&infants=0&check_in=2022-09-26&check_out=2022-10-03&previous_page_section_name=1000,"Avaliação: 4,83 de 5 estrelas",R$147 por noite
Apto apaixonante e bem localizado no centro de SP!,www.airbnb.com.br/rooms/52022339?adults=2&children=0&infants=0&check_in=2022-09-06&check_out=2022-09-13&previous_page_section_name=1000,"Avaliação: 4,75 de 5 estrelas",R$218 por noite
Housi Paulista - Incrível Prédio colado na Av. Paulista! 05007,www.airbnb.com.br/rooms/53394808?adults=2&children=0&infants=0&check_in=2022-06-27&check_out=2022-07-04&previous_page_section_name=1000,"Avaliação: 4,83 de 5 estrelas",R$212 por noite
Conforto Apartamento August Street.,www.airbnb.com.br/rooms/539808251136046447?adults=2&children=0&infants=0&check_in=2022-08-24&check_out=2022-08-31&previous_page_section_name=1000,"Avaliação: 4,87 de 5 estrelas",R$264 por noite
Apartamento moderno com hidromassagem! Na Berrini!,www.airbnb.com.br/rooms/42705318?adults=2&children=0&infants=0&check_in=2022-08-10&check_out=2022-08-17&previous_page_section_name=1000,"Avaliação: 4,71 de 5 estrelas",R$283 por noite
Estúdio Moderno no 7º Andar com Varanda e Vista  !,www.airbnb.com.br/rooms/50747022?adults=2&children=0&infants=0&check_in=2022-08-31&check_out=2022-09-07&previous_page_section_name=1000,"Avaliação: 4,63 de 5 estrelas",R$138 por noite
B.Homy Bela Vista - Adaptado e confortável APM1306,www.airbnb.com.br/rooms/33615468?adults=2&children=0&infants=0&check_in=2023-02-06&check_out=2023-02-13&previous_page_section_name=1000,"Avaliação: 4,88 de 5 estrelas",R$145 por noite
Apartamento confortável e charmoso.,www.airbnb.com.br/rooms/51602979?adults=2&children=0&infants=0&check_in=2022-10-13&check_out=2022-10-20&previous_page_section_name=1000,"Avaliação: 5,0 de 5 estrelas",R$119 por noite
Studio novo ao lado Metrô República DR603,www.airbnb.com.br/rooms/39763314?adults=2&children=0&infants=0&check_in=2022-08-09&check_out=2022-08-16&previous_page_section_name=1000,"Avaliação: 4,7 de 5 estrelas",R$158 por noite
MOBI_07_NOVO STUDIO NA AV LIBERDADE COM WIFI,www.airbnb.com.br/rooms/623142117313977987?adults=2&children=0&infants=0&check_in=2022-08-29&check_out=2022-09-05&previous_page_section_name=1000,Novo lugar para ficar,R$144 por noite
Housi Paulista - Incrível Prédio colado na Av. Paulista! 02013,www.airbnb.com.br/rooms/54211976?adults=2&children=0&infants=0&check_in=2023-01-01&check_out=2023-01-08&previous_page_section_name=1000,"Avaliação: 5,0 de 5 estrelas",R$214 por noite
Lindo apartmento em Pinheiros,www.airbnb.com.br/rooms/52471075?adults=2&children=0&infants=0&check_in=2022-08-21&check_out=2022-08-28&previous_page_section_name=1000,"Avaliação: 5,0 de 5 estrelas",R$176 por noite
Aconchegante apartamento no coração da Bela Vista,www.airbnb.com.br/rooms/43403517?adults=2&children=0&infants=0&check_in=2022-09-30&check_out=2022-10-07&previous_page_section_name=1000,"Avaliação: 5,0 de 5 estrelas",R$145 por noite
"Ap na Pç República, c/piscina/academia  300m metrô",www.airbnb.com.br/rooms/53777488?adults=2&children=0&infants=0&check_in=2022-08-23&check_out=2022-08-30&previous_page_section_name=1000,"Avaliação: 4,83 de 5 estrelas",R$133 por noite
B.Homy Bela Vista - Moderno e bem localizado ME903,www.airbnb.com.br/rooms/583164895862343247?adults=2&children=0&infants=0&check_in=2022-11-02&check_out=2022-11-09&previous_page_section_name=1000,"Avaliação: 4,75 de 5 estrelas",R$167 por noite
"Apartamento encantador, com metrô e trem a poucos passos e muitas opções de transporte público.  É  o lugar perfeito para o turismo cultural, de compras, gastronômico e de negócios.",www.airbnb.com.br/rooms/51741990?adults=2&children=0&infants=0&check_in=2023-03-10&check_out=2023-03-17&previous_page_section_name=1000,"Avaliação: 4,73 de 5 estrelas",R$144 por noite
Apartamento Aconchegante perto da Linha Vermelha,www.airbnb.com.br/rooms/19085626?adults=2&children=0&infants=0&check_in=2022-08-27&check_out=2022-09-03&previous_page_section_name=1000,"Avaliação: 4,95 de 5 estrelas",R$155 por noite
Cantinho Aconchegante no Coração de Pinheiros!.,www.airbnb.com.br/rooms/52652205?adults=2&children=0&infants=0&check_in=2023-02-09&check_out=2023-02-16&previous_page_section_name=1000,"Avaliação: 4,93 de 5 estrelas",R$188 por noite
